watermark_method,project,language,seed_group,rng_seed,method_config,response_points,evaluated_points,parameter_runs,Pass,BE,TE,RE,Excluded,point_pooled_pass_rate,pass_strength_mean,pass_strength_median,pass_strength_q1,pass_strength_q3,pass_strength_iqr,run_balanced_pass_rate,run_balanced_mean_pass_strength,runs_with_pass
ewd,brick_breaker,java,,3224345906,brick_breaker_game_ewd_T=0.7_rngS=3224345906_gamma=0.5_hashKey=23873851_prefixLen=1,37,37,1,1,36,0,0,0,0.027027,0.2,0.2,0.2,0.2,0.0,0.027027,0.2,1
ewd,brick_breaker,java,,3224345906,brick_breaker_game_ewd_T=0.7_rngS=3224345906_gamma=0.5_hashKey=36728353_prefixLen=1,41,41,1,1,40,0,0,0,0.02439,2.6,2.6,2.6,2.6,0.0,0.02439,2.6,1
ewd,brick_breaker,java,,3224345906,brick_breaker_game_ewd_T=0.7_rngS=3224345906_gamma=0.5_hashKey=47646761_prefixLen=1,32,32,1,0,32,0,0,0,0.0,,,,,,0.0,,0
ewd,brick_breaker,java,,3224345906,brick_breaker_game_ewd_T=0.7_rngS=3224345906_gamma=0.5_hashKey=83782121_prefixLen=1,33,33,1,0,33,0,0,0,0.0,,,,,,0.0,,0
ewd,brick_breaker,python,1082524405,1082524405,brick_breaker_game_ewd_T=0.7_rngS=1082524405_gamma=0.5_hashKey=15485863_prefixLen=1,30,30,1,10,0,19,1,0,0.333333,0.76,0.55,0.325,1.25,0.925,0.333333,0.76,1
ewd,brick_breaker,python,1082524405,1082524405,brick_breaker_game_ewd_T=0.7_rngS=1082524405_gamma=0.5_hashKey=15485917_prefixLen=1,38,38,1,28,0,10,0,0,0.736842,2.15,1.85,1.025,3.425,2.4,0.736842,2.15,1
ewd,brick_breaker,python,1082524405,1082524405,brick_breaker_game_ewd_T=0.7_rngS=1082524405_gamma=0.5_hashKey=23873851_prefixLen=1,35,35,1,5,0,30,0,0,0.142857,0.56,0.3,0.2,0.4,0.2,0.142857,0.56,1
ewd,brick_breaker,python,1082524405,1082524405,brick_breaker_game_ewd_T=0.7_rngS=1082524405_gamma=0.5_hashKey=36728353_prefixLen=1,39,39,1,20,0,19,0,0,0.512821,1.695,1.75,0.575,2.725,2.15,0.512821,1.695,1
ewd,brick_breaker,python,1082524405,1082524405,brick_breaker_game_ewd_T=0.7_rngS=1082524405_gamma=0.5_hashKey=47646761_prefixLen=1,38,38,1,19,1,16,2,0,0.5,1.642105,1.9,0.55,2.6,2.05,0.5,1.642105,1
ewd,brick_breaker,python,1082524405,1082524405,brick_breaker_game_ewd_T=0.7_rngS=1082524405_gamma=0.5_hashKey=83782121_prefixLen=1,34,34,1,7,0,25,2,0,0.205882,1.185714,1.1,0.55,1.95,1.4,0.205882,1.185714,1
ewd,caro,cpp,,3627467929,caro_game_ewd_T=0.7_rngS=3627467929_gamma=0.5_hashKey=15485863_prefixLen=1,32,32,1,3,28,1,0,0,0.09375,0.2,0.2,0.15,0.25,0.1,0.09375,0.2,1
ewd,caro,cpp,,3627467929,caro_game_ewd_T=0.7_rngS=3627467929_gamma=0.5_hashKey=15485917_prefixLen=1,24,24,1,7,17,0,0,0,0.291667,1.371429,1.1,0.55,2.25,1.7,0.291667,1.371429,1
