paradigm,method,training_seconds,embedding_ms_per_1k_tokens,embedding_95ci_lower,embedding_95ci_upper,extraction_ms_per_1k_tokens,extraction_95ci_lower,extraction_95ci_upper,measured_runs,embedding_reference_tokens,extraction_reference_tokens
Logits-bias,WLLM,,4451.344431436155,4228.328518584021,4668.678315192665,242437.38713630592,239367.3693393794,245781.64269255468,10,2560,2560
Logits-bias,EWD,,423.29203606641386,412.4062056416733,441.4064091633918,2874.497475568205,2651.0231877455226,3075.682523649448,10,2560,2560
Logits-bias,SWEET,,4131.164792124764,4062.294608202137,4200.126140931388,12205.308859847719,10719.771007943564,13662.871277228987,10,2560,2560
Logits-bias,STONE,,598.2832713925745,576.6139749357535,626.2121596955694,962.6073981053196,898.4524363768287,1033.220096705918,10,2560,2560
Logits-bias,CodeIP,,819.591169783962,756.3851225768303,908.0984902902856,3604.2133946466492,3534.624731828444,3656.508489730186,10,2560,2560
Logits-bias,Waterfall,,1235.2904599538306,1122.492706635967,1377.3406394011545,2574.9546901352005,2278.944455611054,2838.505873351096,10,2560,2560
Semantic-preserving,CodeMark,11604.095,79.23145040475573,69.19852385937136,86.22097543793907,59.32260647003151,50.732235675123306,65.04941946824988,3150,452170,427156
Semantic-preserving,SrcMarker,13016.553,74.56042195293406,66.05520831031721,80.5108048049578,48.00938284905878,40.59682020597806,53.0508377088162,3150,452170,451880
