method,dataset,attack,n_attempted,n_paired,n_changed,n_syntax_valid,clean_BAR,clean_BAR_ci_low,clean_BAR_ci_high,attack_BAR,attack_BAR_ci_low,attack_BAR_ci_high,DeltaBAR,DeltaBAR_ci_low,DeltaBAR_ci_high,clean_MAR,clean_MAR_ci_low,clean_MAR_ci_high,attack_MAR,attack_MAR_ci_low,attack_MAR_ci_high,change_rate,syntax_valid_rate,paired_coverage,chance_BAR,chance_MAR
SrcMarker,GitHub-C,llm-rag,125,120,122,123,0.9354166666666667,0.9104166666666667,0.9583333333333334,0.7145833333333333,0.6666666666666666,0.7625,0.22083333333333333,0.175,0.26875,0.7833333333333333,0.7083333333333334,0.8583333333333333,0.35,0.26666666666666666,0.43333333333333335,0.976,0.984,0.96,0.5,0.0625
SrcMarker,GitHub-Java,llm-rag,125,121,122,124,0.9586776859504132,0.9380165289256198,0.9772727272727273,0.6962809917355371,0.6466942148760331,0.7458677685950413,0.2623966942148761,0.21074380165289255,0.3140495867768595,0.859504132231405,0.7933884297520661,0.9173553719008265,0.32231404958677684,0.2396694214876033,0.4049586776859504,0.976,0.992,0.968,0.5,0.0625
SrcMarker,CSN-JavaScript,llm-rag,125,123,123,125,1.0,1.0,1.0,0.7398373983739838,0.693089430894309,0.7845528455284553,0.26016260162601623,0.21544715447154472,0.30691056910569103,1.0,1.0,1.0,0.3902439024390244,0.3089430894308943,0.4796747967479675,0.984,1.0,0.984,0.5,0.0625
SrcMarker,CSN-Java,llm-rag,125,123,123,125,0.9715447154471545,0.9491869918699187,0.9898373983739838,0.7073170731707317,0.6585365853658537,0.758130081300813,0.2642276422764228,0.21544715447154472,0.3130081300813008,0.9349593495934959,0.8861788617886179,0.975609756097561,0.34146341463414637,0.2601626016260163,0.43089430894308944,0.984,1.0,0.984,0.5,0.0625
CodeMark,GitHub-C,llm-rag,125,118,120,123,0.972457627118644,0.9533898305084746,0.989406779661017,0.739406779661017,0.6885593220338984,0.7860169491525424,0.23305084745762705,0.1843220338983051,0.2838983050847458,0.9152542372881356,0.864406779661017,0.9576271186440678,0.3983050847457627,0.3135593220338983,0.4830508474576271,0.96,0.984,0.944,0.5,0.0625
CodeMark,GitHub-Java,llm-rag,125,124,124,125,0.9637096774193549,0.9375,0.9858870967741935,0.6612903225806451,0.6108870967741935,0.7116935483870968,0.30241935483870974,0.2540322580645161,0.3528225806451613,0.9193548387096774,0.8709677419354839,0.967741935483871,0.27419354838709675,0.20161290322580644,0.3548387096774194,0.992,1.0,0.992,0.5,0.0625
CodeMark,CSN-JavaScript,llm-rag,125,120,120,125,0.9854166666666667,0.96875,0.9979166666666667,0.7520833333333333,0.70625,0.7958333333333333,0.2333333333333334,0.18958333333333333,0.2791666666666667,0.9583333333333334,0.9166666666666666,0.9916666666666667,0.4,0.31666666666666665,0.49166666666666664,0.96,1.0,0.96,0.5,0.0625
CodeMark,CSN-Java,llm-rag,125,123,123,125,0.9817073170731707,0.967479674796748,0.9939024390243902,0.7154471544715447,0.6646341463414634,0.7642276422764228,0.266260162601626,0.21747967479674796,0.3170731707317073,0.9349593495934959,0.8861788617886179,0.975609756097561,0.35772357723577236,0.2764227642276423,0.44715447154471544,0.984,1.0,0.984,0.5,0.0625
