method,dataset,clean_BAR,clean_MAR,rule_all_n,rule_all_attack_BAR,rule_all_DeltaBAR,rule_all_attack_MAR,llm_n,llm_attack_BAR,llm_DeltaBAR,llm_attack_MAR,llm_paired_coverage
SrcMarker,GitHub-C,0.9395424836601307,0.8191721132897604,448,0.5340401785714286,0.4040178571428571,0.09151785714285714,120,0.7145833333333333,0.22083333333333333,0.35,0.96
SrcMarker,GitHub-Java,0.9378402903811253,0.8130671506352087,528,0.4744318181818182,0.4644886363636364,0.07575757575757576,121,0.6962809917355371,0.2623966942148761,0.32231404958677684,0.968
SrcMarker,CSN-JavaScript,0.986904761904762,0.9663492063492064,3130,0.465814696485623,0.5210063897763578,0.050798722044728434,123,0.7398373983739838,0.26016260162601623,0.3902439024390244,0.984
SrcMarker,CSN-Java,0.9732083531086854,0.9314665401044139,10072,0.531299642573471,0.4421167593328039,0.10206513105639396,123,0.7073170731707317,0.2642276422764228,0.34146341463414637,0.984
CodeMark,GitHub-C,0.960239651416122,0.8823529411764706,447,0.44854586129753915,0.5123042505592841,0.03803131991051454,118,0.739406779661017,0.23305084745762705,0.3983050847457627,0.944
CodeMark,GitHub-Java,0.9528130671506352,0.8838475499092558,535,0.5322429906542057,0.42056074766355134,0.07102803738317758,124,0.6612903225806451,0.30241935483870974,0.27419354838709675,0.992
CodeMark,CSN-JavaScript,0.9809523809523809,0.9501587301587302,3130,0.5008785942492012,0.4799520766773163,0.0645367412140575,120,0.7520833333333333,0.2333333333333334,0.4,0.96
CodeMark,CSN-Java,0.9798054105363075,0.9314665401044139,10070,0.5417576961271102,0.4383813306852036,0.10913604766633565,123,0.7154471544715447,0.266260162601626,0.35772357723577236,0.984
