method,dataset,channel,n_paired,clean_BAR,attack_BAR,DeltaBAR,clean_MAR,attack_MAR,change_rate,syntax_valid_rate,paired_coverage
SrcMarker,GitHub-C,id,448,0.9380580357142857,0.5290178571428571,0.4090401785714286,0.8147321428571429,0.12723214285714285,0.9760348583877996,0.9760348583877996,0.9760348583877996
SrcMarker,GitHub-C,expr,448,0.9380580357142857,0.9308035714285714,0.007254464285714302,0.8147321428571429,0.8035714285714286,0.9760348583877996,0.9760348583877996,0.9760348583877996
SrcMarker,GitHub-C,block,448,0.9380580357142857,0.8091517857142857,0.12890625,0.8147321428571429,0.5625,0.9760348583877996,0.9760348583877996,0.9760348583877996
SrcMarker,GitHub-C,all,448,0.9380580357142857,0.5340401785714286,0.4040178571428571,0.8147321428571429,0.09151785714285714,0.9760348583877996,0.9760348583877996,0.9760348583877996
SrcMarker,GitHub-Java,id,528,0.9389204545454546,0.47301136363636365,0.46590909090909094,0.8181818181818182,0.08143939393939394,0.9582577132486388,0.9582577132486388,0.9582577132486388
SrcMarker,GitHub-Java,expr,528,0.9389204545454546,0.9384469696969697,0.00047348484848486194,0.8181818181818182,0.8181818181818182,0.9582577132486388,0.9582577132486388,0.9582577132486388
SrcMarker,GitHub-Java,block,528,0.9389204545454546,0.9285037878787878,0.01041666666666674,0.8181818181818182,0.7992424242424242,0.9582577132486388,0.9582577132486388,0.9582577132486388
SrcMarker,GitHub-Java,all,528,0.9389204545454546,0.4744318181818182,0.4644886363636364,0.8181818181818182,0.07575757575757576,0.9582577132486388,0.9582577132486388,0.9582577132486388
SrcMarker,CSN-JavaScript,id,3130,0.9868210862619808,0.4670926517571885,0.5197284345047923,0.9661341853035144,0.05335463258785943,0.9936507936507937,0.9936507936507937,0.9936507936507937
SrcMarker,CSN-JavaScript,expr,3130,0.9868210862619808,0.9874600638977635,-0.0006389776357826893,0.9661341853035144,0.9674121405750798,0.9936507936507937,0.9936507936507937,0.9936507936507937
SrcMarker,CSN-JavaScript,block,3130,0.9868210862619808,0.9871405750798722,-0.00031948881789134465,0.9661341853035144,0.9664536741214057,0.9936507936507937,0.9936507936507937,0.9936507936507937
SrcMarker,CSN-JavaScript,all,3130,0.9868210862619808,0.465814696485623,0.5210063897763578,0.9661341853035144,0.050798722044728434,0.9936507936507937,0.9936507936507937,0.9936507936507937
SrcMarker,CSN-Java,id,10072,0.9734164019062749,0.5276260921366164,0.4457903097696585,0.931989674344718,0.10127084988085783,0.9560512577123873,0.9560512577123873,0.9560512577123873
SrcMarker,CSN-Java,expr,10072,0.9734164019062749,0.9733915806195393,2.482128673553241e-05,0.931989674344718,0.931989674344718,0.9560512577123873,0.9560512577123873,0.9560512577123873
SrcMarker,CSN-Java,block,10072,0.9734164019062749,0.9736149722001588,-0.00019857029388392622,0.931989674344718,0.9327839555202542,0.9560512577123873,0.9560512577123873,0.9560512577123873
SrcMarker,CSN-Java,all,10072,0.9734164019062749,0.531299642573471,0.4421167593328039,0.931989674344718,0.10206513105639396,0.9560512577123873,0.9560512577123873,0.9560512577123873
CodeMark,GitHub-C,id,447,0.9608501118568232,0.4507829977628635,0.5100671140939597,0.883668903803132,0.040268456375838924,0.9738562091503268,0.9738562091503268,0.9738562091503268
CodeMark,GitHub-C,expr,447,0.9608501118568232,0.95917225950783,0.001677852348993203,0.883668903803132,0.8791946308724832,0.9738562091503268,0.9738562091503268,0.9738562091503268
CodeMark,GitHub-C,block,447,0.9608501118568232,0.9619686800894854,-0.0011185682326622093,0.883668903803132,0.8881431767337807,0.9738562091503268,0.9738562091503268,0.9738562091503268
CodeMark,GitHub-C,all,447,0.9608501118568232,0.44854586129753915,0.5123042505592841,0.883668903803132,0.03803131991051454,0.9738562091503268,0.9738562091503268,0.9738562091503268
CodeMark,GitHub-Java,id,535,0.952803738317757,0.516822429906542,0.43598130841121496,0.8859813084112149,0.07102803738317758,0.9709618874773139,0.9709618874773139,0.9709618874773139
CodeMark,GitHub-Java,expr,535,0.952803738317757,0.9532710280373832,-0.00046728971962617383,0.8859813084112149,0.8878504672897196,0.9709618874773139,0.9709618874773139,0.9709618874773139
CodeMark,GitHub-Java,block,535,0.952803738317757,0.9551401869158879,-0.002336448598130869,0.8859813084112149,0.8934579439252337,0.9709618874773139,0.9709618874773139,0.9709618874773139
