paradigm,method,dataset_or_workload,sample_or_seed,repeat,input_or_prompt_tokens,generated_or_watermarked_tokens,extraction_reference_tokens,baseline_generated_tokens,input_internal_tokens,watermarked_internal_tokens,input_model_tokens,watermarked_model_tokens,input_truncated,watermarked_truncated,input_sha256,output_sha256,baseline_output_sha256,tokenizer_identifier,pair_order
semantic-preserving,CodeMark,csn_js,test#552,0,115,105,105,,102,102,102,102,False,False,2f192cd54c0157009b6a0d08d04555bfc250afa6f5d571f063dd9e38014e996a,578d71fb5e2b5b0f7b179bf1d733402b50bceece082f97d72f9dccadcf4351ac,,Qwen/Qwen3-Coder-30B-A3B-Instruct,
semantic-preserving,CodeMark,csn_js,test#553,0,257,228,228,,263,270,263,270,False,False,876c969ed94d2eae877c8ef898dd46b85b637475d70aede73519f7e6a2953177,1316d3bf0ffe70ac03b3b363bd6d817284847d5901342446045010c7946e2fa5,,Qwen/Qwen3-Coder-30B-A3B-Instruct,
semantic-preserving,CodeMark,csn_js,test#554,0,85,74,74,,80,82,80,82,False,False,8f16c9dbb0b6ff2ca7eaadb00df1628528a3caf7918f2997f4183326bcfe9041,c459e71a17782b64c6f6433b04daddcbf7340b05382ea4dbbb45d2fe1fde6b5b,,Qwen/Qwen3-Coder-30B-A3B-Instruct,
semantic-preserving,CodeMark,csn_js,test#555,0,133,116,116,,132,135,132,135,False,False,a2d5ec923f7b291bd12cb603c8cbdb15f1192f1e4e20bbe5844b3ce0f4bcf9e1,9fbffa3129dab826258d080385a3473d0900738a168d6089ef0c341ca54d67d6,,Qwen/Qwen3-Coder-30B-A3B-Instruct,
semantic-preserving,CodeMark,csn_js,test#556,0,144,129,129,,132,129,132,129,False,False,20a90fc30f719d0d1da827afcee3d49407a6f96ae39f6c524bccb54a8d5f1550,c8fadf4ffaa441608d4f63709b1acfd0948e14305a56b64f9f32b343f20d74c5,,Qwen/Qwen3-Coder-30B-A3B-Instruct,
semantic-preserving,CodeMark,csn_js,test#557,0,86,78,78,,78,81,78,81,False,False,c7e179bb466feb090ec3264f06b9755238eb59173045fd739b999e51738858ce,7b4d81c18087efb933de312db2e16f9a75c6e3fdffbe11703073b2a66bd664b2,,Qwen/Qwen3-Coder-30B-A3B-Instruct,
semantic-preserving,CodeMark,csn_js,test#558,0,81,73,73,,76,80,76,80,False,False,b49034602a98792261459b2188fda63bb9965eca6090ef890ccc7d43446d9d53,72cf329ffd4f32fa2e0cbc3c4aa2caec374cef202482cc98b2f5beda535447ec,,Qwen/Qwen3-Coder-30B-A3B-Instruct,
semantic-preserving,CodeMark,csn_js,test#559,0,101,101,101,,109,109,109,109,False,False,e5955d50d41c9f9ac8d8a8e3f98739a80c31013eec6b17d6bebc6a48f0431642,e093893a4b597804d111d217083810b63e1c9ef4f81330f1cd9457197146aa6b,,Qwen/Qwen3-Coder-30B-A3B-Instruct,
semantic-preserving,CodeMark,csn_js,test#560,0,82,79,79,,94,96,94,96,False,False,8185705ab455516a5a2c65fcc970ff93b5e545618e017ec7bb096738081c81ff,d052220e3459ce9110aba995d47013d05409f3a7a80183e553e57bbb0cc73581,,Qwen/Qwen3-Coder-30B-A3B-Instruct,
semantic-preserving,CodeMark,csn_js,test#561,0,282,250,250,,279,281,279,281,False,False,aa71c34f4b90a4bf4abeeb4be117ecc226a2d5cf71540d5b9b60bedd0526a2f5,d8eedc8680666a5e41011086583a3ea94e16c4390d99a96d85965e3ff2985dff,,Qwen/Qwen3-Coder-30B-A3B-Instruct,
