paradigm,method,dataset_or_workload,sample_or_seed,repeat,embedding_seconds,baseline_generation_seconds,watermarked_generation_seconds,paired_generation_delta_seconds,extraction_seconds,embedding_reference_tokens,extraction_reference_tokens,embedding_ms_per_1k_tokens,baseline_generation_ms_per_1k_tokens,watermarked_generation_ms_per_1k_tokens,paired_generation_delta_ms_per_1k_tokens,extraction_ms_per_1k_tokens
semantic-preserving,SrcMarker,csn_js,test#2446,0,0.016476617195,,,,0.011001432315,171,179,96.354486519,,,,61.460515724
semantic-preserving,SrcMarker,csn_js,test#2447,0,0.007360119373,,,,0.004378768615,78,74,94.360504777,,,,59.172548857
semantic-preserving,SrcMarker,csn_js,test#2448,0,0.014288594946,,,,0.008715726435,145,207,98.542034112,,,,42.104958624
semantic-preserving,SrcMarker,csn_js,test#2449,0,0.018322727643,,,,0.013431172818,179,217,102.361606944,,,,61.894805613
semantic-preserving,SrcMarker,csn_js,test#2450,0,0.012190561742,,,,0.008211003616,129,144,94.500478617,,,,57.020858448
semantic-preserving,SrcMarker,csn_js,test#2451,0,0.004793196917,,,,0.002487745136,38,36,126.136760963,,,,69.104031556
semantic-preserving,SrcMarker,csn_js,test#2452,0,0.006214565597,,,,0.003831190988,53,56,117.255954669,,,,68.414124793
semantic-preserving,SrcMarker,csn_js,test#2453,0,0.006740161218,,,,0.004009359516,60,60,112.336020296,,,,66.822658603
semantic-preserving,SrcMarker,csn_js,test#2454,0,0.007761076093,,,,0.003951384686,67,65,115.836956608,,,,60.790533630
semantic-preserving,SrcMarker,csn_js,test#2455,0,0.012277285568,,,,0.006931020878,138,130,88.965837452,,,,53.315545217
semantic-preserving,SrcMarker,csn_js,test#2456,0,0.017649443820,,,,0.012271677144,223,239,79.145487983,,,,51.345929472
semantic-preserving,SrcMarker,csn_js,test#2457,0,0.005645917729,,,,0.003600156866,37,44,152.592371042,,,,81.821746955
semantic-preserving,SrcMarker,csn_js,test#2458,0,0.045885776170,,,,0.022727811709,792,739,57.936586073,,,,30.754819633
semantic-preserving,SrcMarker,csn_js,test#2459,0,0.007618847303,,,,0.004731172696,75,76,101.584630708,,,,62.252272313
semantic-preserving,SrcMarker,csn_js,test#2460,0,0.013011639938,,,,0.008265397511,138,129,94.287245926,,,,64.072848926
semantic-preserving,SrcMarker,csn_js,test#2461,0,0.017290798016,,,,0.010164757259,180,171,96.059988977,,,,59.443024908
semantic-preserving,SrcMarker,csn_js,test#2462,0,0.037410398014,,,,0.021284486167,502,461,74.522705207,,,,46.170251989
