paradigm,method,training_seconds,embedding_ms_per_1k_tokens,embedding_95ci_lower,embedding_95ci_upper,baseline_generation_ms_per_1k_tokens,watermarked_generation_ms_per_1k_tokens,paired_generation_delta_ms_per_1k_tokens,paired_generation_delta_95ci_lower,paired_generation_delta_95ci_upper,extraction_ms_per_1k_tokens,extraction_95ci_lower,extraction_95ci_upper,measured_runs,embedding_reference_tokens,extraction_reference_tokens
Logits-bias,WLLM,,7998.822511702504,7186.607123976501,9097.128810935828,76215.1641654782,84213.9866771807,7998.822511702504,7186.607123976501,9097.128810935828,3478.2024788064314,3378.901787373252,3573.607178774707,30,7680,7682
Logits-bias,EWD,,530.5714885859439,243.71857718506362,920.3154968599843,76068.47759683055,76599.0490854165,530.5714885859439,243.71857718506362,920.3154968599843,1407.357905438937,1381.737136784122,1431.1551426332396,30,7680,7679
Logits-bias,SWEET,,7475.3049899300095,6998.122773278131,8011.260326663129,76146.49124710316,83621.79623703317,7475.3049899300095,6998.122773278131,8011.260326663129,4550.141047123664,4413.900444563599,4715.242658503485,30,7680,7680
Logits-bias,STONE,,333.1361557987596,107.23285046272697,587.7420503202302,76156.55941420604,76489.6955700048,333.1361557987596,107.23285046272697,587.7420503202302,241.26379382336322,239.80390904317494,242.99680303253507,30,7680,7679
Logits-bias,CodeIP,,501.7070225828017,95.82549624913858,849.3364712952218,76520.64774374594,77022.35476632875,501.7070225828017,95.82549624913858,849.3364712952218,2587.1379659554214,2554.7519180248178,2620.115061213476,30,7680,7677
Logits-bias,Waterfall,,4781.823452503886,4155.5081587011955,5266.97105572263,76389.33961522223,81171.16306772611,4781.823452503886,4155.5081587011955,5266.97105572263,1879.233848740114,1695.5543034570533,2118.5968658149554,30,7680,7680
Semantic-preserving,CodeMark,11604.095,78.12768203559038,70.69214995371807,84.37402869644811,,,,,,49.97517915620689,43.367629900026294,54.40404817898289,3150,452170,427156
Semantic-preserving,SrcMarker,13016.553,84.43197414285905,77.86172742580031,89.12058659211364,,,,,,50.678995707580725,42.53159902529382,57.65844079857081,3150,452170,451880
