dataset,n_common_valid,srcmarker_DeltaBAR,codemark_DeltaBAR,DeltaBAR_difference_srcmarker_minus_codemark,DeltaBAR_difference_ci_low,DeltaBAR_difference_ci_high,srcmarker_attack_BAR,codemark_attack_BAR,attack_BAR_difference_srcmarker_minus_codemark,attack_BAR_difference_ci_low,attack_BAR_difference_ci_high,srcmarker_attack_MAR,codemark_attack_MAR,attack_MAR_difference_srcmarker_minus_codemark,attack_MAR_difference_ci_low,attack_MAR_difference_ci_high,bootstrap_repetitions,bootstrap_seed
GitHub-C,116,0.22844827586206898,0.23060344827586207,-0.0021551724137931034,-0.07112068965517242,0.06896551724137931,0.709051724137931,0.7413793103448276,-0.032327586206896554,-0.10129310344827586,0.036637931034482756,0.3448275862068966,0.39655172413793105,-0.05172413793103448,-0.1724137931034483,0.06896551724137931,10000,42
GitHub-Java,121,0.26239669421487605,0.29545454545454547,-0.03305785123966942,-0.09710743801652892,0.031043388429751316,0.6962809917355371,0.6694214876033058,0.026859504132231406,-0.03512396694214876,0.08884297520661157,0.32231404958677684,0.2809917355371901,0.04132231404958678,-0.06611570247933884,0.1487603305785124,10000,43
CSN-JavaScript,118,0.2690677966101695,0.23516949152542374,0.03389830508474576,-0.023305084745762712,0.08898305084745763,0.7309322033898306,0.75,-0.019067796610169493,-0.07627118644067797,0.04025423728813559,0.3728813559322034,0.3983050847457627,-0.025423728813559324,-0.1440677966101695,0.09322033898305085,10000,44
CSN-Java,122,0.26229508196721313,0.26639344262295084,-0.004098360655737705,-0.06967213114754098,0.06147540983606557,0.7090163934426229,0.7151639344262295,-0.006147540983606557,-0.06967213114754098,0.05737704918032787,0.3442622950819672,0.36065573770491804,-0.01639344262295082,-0.13114754098360656,0.09836065573770492,10000,45
