unit_id,project,language,replay,rng_seed,generation_complete,evaluator_return_code,passed,content_identical_to_accepted,accepted_repository_tree_sha256,replay_repository_tree_sha256,evidence_path,generation_report_path,evaluator_log_path,repository_path
p01_snake_game_cpp,p01_snake_game,cpp,1,666643921,True,0,True,True,35102df7bf0d0263f4079d7ced3caf238a9685788b7f85d1742879e0136061ea,35102df7bf0d0263f4079d7ced3caf238a9685788b7f85d1742879e0136061ea,units/p01_snake_game/cpp/replays/0001_seed_666643921/evidence.json,units/p01_snake_game/cpp/replays/0001_seed_666643921/generation_report.json,units/p01_snake_game/cpp/replays/0001_seed_666643921/evaluator.log,units/p01_snake_game/cpp/replays/0001_seed_666643921/repository
p01_snake_game_java,p01_snake_game,java,1,1082638472,True,0,True,True,489b8bc56e580ef8ef3e618a30a27efaa120a6ab10e90b56a9294e5e9e66aac0,489b8bc56e580ef8ef3e618a30a27efaa120a6ab10e90b56a9294e5e9e66aac0,units/p01_snake_game/java/replays/0001_seed_1082638472/evidence.json,units/p01_snake_game/java/replays/0001_seed_1082638472/generation_report.json,units/p01_snake_game/java/replays/0001_seed_1082638472/evaluator.log,units/p01_snake_game/java/replays/0001_seed_1082638472/repository
p01_snake_game_python,p01_snake_game,python,1,3736547328,True,0,True,True,8ce7f443b58d4e22acae98cf115e877be069600932949cb00ce6126baae947f2,8ce7f443b58d4e22acae98cf115e877be069600932949cb00ce6126baae947f2,units/p01_snake_game/python/replays/0001_seed_3736547328/evidence.json,units/p01_snake_game/python/replays/0001_seed_3736547328/generation_report.json,units/p01_snake_game/python/replays/0001_seed_3736547328/evaluator.log,units/p01_snake_game/python/replays/0001_seed_3736547328/repository
p02_flappy_bird_game_cpp,p02_flappy_bird_game,cpp,1,1192725353,True,0,True,True,e35ac1d9cf6d5ce4d7aa4a5ff1dbd69ba89a2671ce8f112ec0d53509f3362666,e35ac1d9cf6d5ce4d7aa4a5ff1dbd69ba89a2671ce8f112ec0d53509f3362666,units/p02_flappy_bird_game/cpp/replays/0001_seed_1192725353/evidence.json,units/p02_flappy_bird_game/cpp/replays/0001_seed_1192725353/generation_report.json,units/p02_flappy_bird_game/cpp/replays/0001_seed_1192725353/evaluator.log,units/p02_flappy_bird_game/cpp/replays/0001_seed_1192725353/repository
p02_flappy_bird_game_java,p02_flappy_bird_game,java,1,2540127563,True,0,True,True,5ebf0bd9abe406aec04f715b18861d18d34c7fd5f37bf1a0d0b540d9d7825dee,5ebf0bd9abe406aec04f715b18861d18d34c7fd5f37bf1a0d0b540d9d7825dee,units/p02_flappy_bird_game/java/replays/0001_seed_2540127563/evidence.json,units/p02_flappy_bird_game/java/replays/0001_seed_2540127563/generation_report.json,units/p02_flappy_bird_game/java/replays/0001_seed_2540127563/evaluator.log,units/p02_flappy_bird_game/java/replays/0001_seed_2540127563/repository
p02_flappy_bird_game_python,p02_flappy_bird_game,python,1,1298988375,True,0,True,True,12ef0464c31ff38d596ade645f1752b68ab86703b2602b51318f7bbe3e86e78d,12ef0464c31ff38d596ade645f1752b68ab86703b2602b51318f7bbe3e86e78d,units/p02_flappy_bird_game/python/replays/0001_seed_1298988375/evidence.json,units/p02_flappy_bird_game/python/replays/0001_seed_1298988375/generation_report.json,units/p02_flappy_bird_game/python/replays/0001_seed_1298988375/evaluator.log,units/p02_flappy_bird_game/python/replays/0001_seed_1298988375/repository
p03_game_2048_cpp,p03_game_2048,cpp,1,1673168053,True,0,True,True,7e74c4eacdbe7fd8a30a89cb3c8782b16117ba4ff2132aa458b9174f791468b5,7e74c4eacdbe7fd8a30a89cb3c8782b16117ba4ff2132aa458b9174f791468b5,units/p03_game_2048/cpp/replays/0001_seed_1673168053/evidence.json,units/p03_game_2048/cpp/replays/0001_seed_1673168053/generation_report.json,units/p03_game_2048/cpp/replays/0001_seed_1673168053/evaluator.log,units/p03_game_2048/cpp/replays/0001_seed_1673168053/repository
p03_game_2048_java,p03_game_2048,java,1,887850646,True,0,True,True,8039ee8715f0a75831a03f39f79680d3b18da505cdfcc0228af3698a5998ed76,8039ee8715f0a75831a03f39f79680d3b18da505cdfcc0228af3698a5998ed76,units/p03_game_2048/java/replays/0001_seed_887850646/evidence.json,units/p03_game_2048/java/replays/0001_seed_887850646/generation_report.json,units/p03_game_2048/java/replays/0001_seed_887850646/evaluator.log,units/p03_game_2048/java/replays/0001_seed_887850646/repository
p03_game_2048_python,p03_game_2048,python,1,100489887,True,0,True,True,bbffa20a26a8edda6016f18736649edf5ac35cbf2aee15f4187cf35164594f8d,bbffa20a26a8edda6016f18736649edf5ac35cbf2aee15f4187cf35164594f8d,units/p03_game_2048/python/replays/0001_seed_100489887/evidence.json,units/p03_game_2048/python/replays/0001_seed_100489887/generation_report.json,units/p03_game_2048/python/replays/0001_seed_100489887/evaluator.log,units/p03_game_2048/python/replays/0001_seed_100489887/repository
p04_caro_game_cpp,p04_caro_game,cpp,1,1922813371,True,0,True,True,bc2d07912f185a5dedb8b431a916ed059a1e19091dce4e37bf99149465a98380,bc2d07912f185a5dedb8b431a916ed059a1e19091dce4e37bf99149465a98380,units/p04_caro_game/cpp/replays/0001_seed_1922813371/evidence.json,units/p04_caro_game/cpp/replays/0001_seed_1922813371/generation_report.json,units/p04_caro_game/cpp/replays/0001_seed_1922813371/evaluator.log,units/p04_caro_game/cpp/replays/0001_seed_1922813371/repository
p04_caro_game_java,p04_caro_game,java,1,3365300451,True,0,True,True,ef5bdd54c2ac79257d251740a897f691b4617e2c6614309f628a9011aebdbcff,ef5bdd54c2ac79257d251740a897f691b4617e2c6614309f628a9011aebdbcff,units/p04_caro_game/java/replays/0001_seed_3365300451/evidence.json,units/p04_caro_game/java/replays/0001_seed_3365300451/generation_report.json,units/p04_caro_game/java/replays/0001_seed_3365300451/evaluator.log,units/p04_caro_game/java/replays/0001_seed_3365300451/repository
p04_caro_game_python,p04_caro_game,python,1,812711061,True,0,True,True,3e8469ca925c93fc71f38fdb09df72f9ac8d56882437dd585585e9da2bea336d,3e8469ca925c93fc71f38fdb09df72f9ac8d56882437dd585585e9da2bea336d,units/p04_caro_game/python/replays/0001_seed_812711061/evidence.json,units/p04_caro_game/python/replays/0001_seed_812711061/generation_report.json,units/p04_caro_game/python/replays/0001_seed_812711061/evaluator.log,units/p04_caro_game/python/replays/0001_seed_812711061/repository
p05_brick_breaker_game_cpp,p05_brick_breaker_game,cpp,1,1300987923,True,0,True,True,f35231bc65882a6f9590c139e55b1d83fb78d7d70fe5f3a746796f6f1cf864b8,f35231bc65882a6f9590c139e55b1d83fb78d7d70fe5f3a746796f6f1cf864b8,units/p05_brick_breaker_game/cpp/replays/0001_seed_1300987923/evidence.json,units/p05_brick_breaker_game/cpp/replays/0001_seed_1300987923/generation_report.json,units/p05_brick_breaker_game/cpp/replays/0001_seed_1300987923/evaluator.log,units/p05_brick_breaker_game/cpp/replays/0001_seed_1300987923/repository
p05_brick_breaker_game_java,p05_brick_breaker_game,java,1,2697919693,True,0,True,True,eecb2a541b35b9b12e5df069b3d081fda0e482f893df8d76b9a219101173f1d3,eecb2a541b35b9b12e5df069b3d081fda0e482f893df8d76b9a219101173f1d3,units/p05_brick_breaker_game/java/replays/0001_seed_2697919693/evidence.json,units/p05_brick_breaker_game/java/replays/0001_seed_2697919693/generation_report.json,units/p05_brick_breaker_game/java/replays/0001_seed_2697919693/evaluator.log,units/p05_brick_breaker_game/java/replays/0001_seed_2697919693/repository
p05_brick_breaker_game_python,p05_brick_breaker_game,python,1,432197098,True,0,True,True,3471219da70c372c6918e6712921c49c61dd70fdf4987fd4250e82a14eb940df,3471219da70c372c6918e6712921c49c61dd70fdf4987fd4250e82a14eb940df,units/p05_brick_breaker_game/python/replays/0001_seed_432197098/evidence.json,units/p05_brick_breaker_game/python/replays/0001_seed_432197098/generation_report.json,units/p05_brick_breaker_game/python/replays/0001_seed_432197098/evaluator.log,units/p05_brick_breaker_game/python/replays/0001_seed_432197098/repository
p06_tank_battle_game_cpp,p06_tank_battle_game,cpp,1,1423652811,True,0,True,True,22df3b3410b55cdfd0ce1f4eb1c05bc3ec8d881ed964f4cf7cfdf89850301995,22df3b3410b55cdfd0ce1f4eb1c05bc3ec8d881ed964f4cf7cfdf89850301995,units/p06_tank_battle_game/cpp/replays/0001_seed_1423652811/evidence.json,units/p06_tank_battle_game/cpp/replays/0001_seed_1423652811/generation_report.json,units/p06_tank_battle_game/cpp/replays/0001_seed_1423652811/evaluator.log,units/p06_tank_battle_game/cpp/replays/0001_seed_1423652811/repository
p06_tank_battle_game_java,p06_tank_battle_game,java,1,573870900,True,0,True,True,199d396717305eb492048a10d67389077232c4dbdbc619bc67ea839c654f0d6a,199d396717305eb492048a10d67389077232c4dbdbc619bc67ea839c654f0d6a,units/p06_tank_battle_game/java/replays/0001_seed_573870900/evidence.json,units/p06_tank_battle_game/java/replays/0001_seed_573870900/generation_report.json,units/p06_tank_battle_game/java/replays/0001_seed_573870900/evaluator.log,units/p06_tank_battle_game/java/replays/0001_seed_573870900/repository
p06_tank_battle_game_python,p06_tank_battle_game,python,1,2408978515,True,0,True,True,e16593bf47205d61bbae3047df50beda3a049465c8d8f570ae0a885786604cf1,e16593bf47205d61bbae3047df50beda3a049465c8d8f570ae0a885786604cf1,units/p06_tank_battle_game/python/replays/0001_seed_2408978515/evidence.json,units/p06_tank_battle_game/python/replays/0001_seed_2408978515/generation_report.json,units/p06_tank_battle_game/python/replays/0001_seed_2408978515/evaluator.log,units/p06_tank_battle_game/python/replays/0001_seed_2408978515/repository
p07_calculator_cpp,p07_calculator,cpp,1,3978176900,True,0,True,True,a571f97c0b54eec843ada9cad74e1705f51451680c716fd0841fd8455045b592,a571f97c0b54eec843ada9cad74e1705f51451680c716fd0841fd8455045b592,units/p07_calculator/cpp/replays/0001_seed_3978176900/evidence.json,units/p07_calculator/cpp/replays/0001_seed_3978176900/generation_report.json,units/p07_calculator/cpp/replays/0001_seed_3978176900/evaluator.log,units/p07_calculator/cpp/replays/0001_seed_3978176900/repository
p07_calculator_java,p07_calculator,java,1,1570566783,True,0,True,True,ba11834e7c992028e30c90cc9f9737bda9575ea7fbae96e84b946f82e65a4e4b,ba11834e7c992028e30c90cc9f9737bda9575ea7fbae96e84b946f82e65a4e4b,units/p07_calculator/java/replays/0001_seed_1570566783/evidence.json,units/p07_calculator/java/replays/0001_seed_1570566783/generation_report.json,units/p07_calculator/java/replays/0001_seed_1570566783/evaluator.log,units/p07_calculator/java/replays/0001_seed_1570566783/repository
